100th repetition:

Population size: 716
Timestamp: 89575
Number of classifiers in population covered :0
Number of classifiers in population ga-ed :716
Covers occured: 25
Number of subsumptions: 1270

#0##1##=>#0##1## total macro fit: 0.4766 fit: 0.4766 num: 1 exp: 234 cov: 25% of dataset tp: 1521 msa: 1638 ns: 47.5745 origin: ga  created: 82969  last in correctset: 89444  subsumptions: 3 
00#0###=>#0#0### total macro fit: 0.4766 fit: 0.4766 num: 1 exp: 208 cov: 12.5% of dataset tp: 1352 msa: 1456 ns: 56.9644 origin: ga  created: 77910  last in correctset: 89437  subsumptions: 9 
#1#0###=>#1#0### total macro fit: 0.4766 fit: 0.4766 num: 1 exp: 197 cov: 25% of dataset tp: 1280.5 msa: 1379 ns: 37.7219 origin: ga  created: 84110  last in correctset: 89563  subsumptions: 3 
01#0###=>#1#0### total macro fit: 0.4766 fit: 0.4766 num: 1 exp: 39 cov: 12.5% of dataset tp: 253.5 msa: 273 ns: 37.8359 origin: ga  created: 87505  last in correctset: 89563  subsumptions: 0 
1##001#=>1####1# total macro fit: 0.4766 fit: 0.4766 num: 1 exp: 38 cov: 6.25% of dataset tp: 247 msa: 266 ns: 36.488 origin: ga  created: 85404  last in correctset: 89471  subsumptions: 0 
#10####=>#10#### total macro fit: 0.4766 fit: 0.4766 num: 1 exp: 29 cov: 24.3697% of dataset tp: 188.5 msa: 203 ns: 67.6844 origin: ga  created: 88737  last in correctset: 89535  subsumptions: 0 
1###10#=>1###1## total macro fit: 0.4766 fit: 0.4766 num: 1 exp: 25 cov: 12.5% of dataset tp: 162.5 msa: 175 ns: 42.652 origin: ga  created: 88239  last in correctset: 89541  subsumptions: 0 
1#1#1#1=>1#####1 total macro fit: 0.4766 fit: 0.4766 num: 1 exp: 19 cov: 6.25% of dataset tp: 123.5 msa: 133 ns: 49.1742 origin: ga  created: 87189  last in correctset: 89506  subsumptions: 1 
#0#00##=>#0#0### total macro fit: 0.4766 fit: 0.4766 num: 1 exp: 12 cov: 10.3448% of dataset tp: 78 msa: 84 ns: 52.3817 origin: ga  created: 88760  last in correctset: 89437  subsumptions: 0 
1##011#=>1####1# total macro fit: 0.4766 fit: 0.4766 num: 1 exp: 49 cov: 6.25% of dataset tp: 318.5 msa: 343 ns: 36.7451 origin: ga  created: 83899  last in correctset: 88946  subsumptions: 0 
#1#0##0=>#1####0 total macro fit: 0.4766 fit: 0.4766 num: 1 exp: 69 cov: 12.5% of dataset tp: 448.5 msa: 483 ns: 30.7006 origin: ga  created: 85762  last in correctset: 89563  subsumptions: 1 
0#101##=>##10### total macro fit: 0.4766 fit: 0.4766 num: 1 exp: 87 cov: 6.25% of dataset tp: 565.5 msa: 609 ns: 43.9429 origin: ga  created: 79792  last in correctset: 89123  subsumptions: 2 
0####0#=>0####0# total macro fit: 0.4766 fit: 0.4766 num: 1 exp: 101 cov: 25% of dataset tp: 656.5 msa: 707 ns: 44.2008 origin: ga  created: 86727  last in correctset: 89450  subsumptions: 3 
110####=>#100### total macro fit: 0.4763 fit: 0.2381 num: 2 exp: 28 cov: 12.5% of dataset tp: 169.8 msa: 196 ns: 65.0621 origin: ga  created: 88107  last in correctset: 89479  subsumptions: 1 
###0#1#=>#1#0### total macro fit: 0.4489 fit: 0.2245 num: 2 exp: 70 cov: 25% of dataset tp: 422 msa: 490 ns: 42.8863 origin: ga  created: 87682  last in correctset: 89563  subsumptions: 1 
###1##0=>1##1### total macro fit: 0.4439 fit: 0.2219 num: 2 exp: 23 cov: 26.4368% of dataset tp: 138.5 msa: 161 ns: 45.9154 origin: ga  created: 88963  last in correctset: 89551  subsumptions: 1 
1#0####=>##0###1 total macro fit: 0.4422 fit: 0.2211 num: 2 exp: 77 cov: 25% of dataset tp: 463.5 msa: 539 ns: 59.1503 origin: ga  created: 87380  last in correctset: 89407  subsumptions: 2 
##1##1#=>1#1#### total macro fit: 0.4409 fit: 0.2204 num: 2 exp: 85 cov: 25% of dataset tp: 511.5 msa: 595 ns: 60.3584 origin: ga  created: 87352  last in correctset: 89506  subsumptions: 3 
####00#=>0####0# total macro fit: 0.4387 fit: 0.2194 num: 2 exp: 136 cov: 25% of dataset tp: 818 msa: 952 ns: 41.9605 origin: ga  created: 85759  last in correctset: 89450  subsumptions: 2 
